"user","datetime","stage_duration","stage"
"AOYM4KG","2023-06-29 02:40:30.000",60,"asleep"
"AOYM4KG","2023-06-29 02:50:30.000",6,"restless"
"AOYM4KG","2023-06-29 02:51:30.000",138,"asleep"
"AOYM4KG","2023-06-29 03:14:30.000",6,"restless"
"AOYM4KG","2023-06-29 03:15:30.000",18,"asleep"
"AOYM4KG","2023-06-29 03:18:30.000",6,"restless"
"AOYM4KG","2023-06-29 03:19:30.000",66,"asleep"
"AOYM4KG","2023-06-29 04:41:30.000",12,"asleep"
"AOYM4KG","2023-06-29 04:43:30.000",12,"restless"
"AOYM4KG","2023-06-29 04:45:30.000",6,"asleep"
"AOYM4KG","2023-06-29 04:46:30.000",24,"restless"
"AOYM4KG","2023-06-29 04:50:30.000",522,"asleep"
"AOYM4KG","2023-06-29 19:27:00.000",12,"restless"
"AOYM4KG","2023-06-29 19:29:00.000",6,"asleep"
"AOYM4KG","2023-06-29 19:30:00.000",12,"restless"
"AOYM4KG","2023-06-29 19:32:00.000",6,"awake"
"AOYM4KG","2023-06-29 19:33:00.000",168,"asleep"
"AOYM4KG","2023-06-29 20:01:00.000",12,"restless"
"AOYM4KG","2023-06-29 20:03:00.000",12,"asleep"
"AOYM4KG","2023-06-29 20:05:00.000",6,"restless"
"AOYM4KG","2023-06-29 20:06:00.000",378,"asleep"
"AOYM4KG","2023-06-29 21:09:00.000",24,"restless"
"AOYM4KG","2023-06-29 21:13:00.000",6,"awake"
"AOYM4KG","2023-06-29 21:14:00.000",18,"restless"
"AOYM4KG","2023-06-29 21:17:00.000",6,"awake"
"AOYM4KG","2023-06-29 21:18:00.000",186,"asleep"
"AOYM4KG","2023-06-29 21:49:00.000",6,"restless"
"AOYM4KG","2023-06-29 21:50:00.000",126,"asleep"
"AOYM4KG","2023-06-29 22:11:00.000",12,"restless"
"AOYM4KG","2023-06-29 22:13:00.000",12,"asleep"
"AOYM4KG","2023-06-29 22:15:00.000",6,"restless"
"AOYM4KG","2023-06-29 22:16:00.000",30,"asleep"
"AOYM4KG","2023-06-29 22:21:00.000",6,"restless"
"AOYM4KG","2023-06-29 22:22:00.000",12,"asleep"
"AOYM4KG","2023-06-29 22:24:00.000",6,"restless"
"AOYM4KG","2023-06-29 22:25:00.000",522,"asleep"
"AOYM4KG","2023-06-29 23:52:00.000",6,"restless"
"AOYM4KG","2023-06-29 23:53:00.000",18,"asleep"
"AOYM4KG","2023-06-29 23:56:00.000",6,"restless"
"AOYM4KG","2023-06-29 23:57:00.000",246,"asleep"
"AOYM4KG","2023-06-30 00:38:00.000",48,"restless"
"AOYM4KG","2023-06-30 00:46:00.000",6,"awake"
"AOYM4KG","2023-06-30 00:47:00.000",6,"restless"
"AOYM4KG","2023-06-30 00:48:00.000",96,"asleep"
"AOYM4KG","2023-06-30 01:04:00.000",6,"restless"
"AOYM4KG","2023-06-30 01:05:00.000",18,"asleep"
"AOYM4KG","2023-06-30 01:08:00.000",6,"restless"
"AOYM4KG","2023-06-30 01:09:00.000",396,"asleep"
"AOYM4KG","2023-06-30 02:15:00.000",6,"restless"
"AOYM4KG","2023-06-30 02:16:00.000",210,"asleep"
"AOYM4KG","2023-06-30 02:51:00.000",18,"restless"
"AOYM4KG","2023-06-30 02:54:00.000",30,"asleep"
"AOYM4KG","2023-06-30 02:59:00.000",12,"restless"
"AOYM4KG","2023-06-30 03:01:00.000",114,"asleep"
"AOYM4KG","2023-06-30 03:20:00.000",6,"restless"
"AOYM4KG","2023-06-30 03:21:00.000",132,"asleep"
"AOYM4KG","2023-06-30 03:43:00.000",18,"restless"
"AOYM4KG","2023-06-30 03:46:00.000",36,"asleep"
"AOYM4KG","2023-06-30 19:52:00.000",54,"asleep"
"AOYM4KG","2023-06-30 20:01:00.000",6,"restless"
"AOYM4KG","2023-06-30 20:02:00.000",6,"asleep"
"AOYM4KG","2023-06-30 20:03:00.000",6,"restless"
"AOYM4KG","2023-06-30 20:04:00.000",6,"asleep"
"AOYM4KG","2023-06-30 20:05:00.000",6,"restless"
"AOYM4KG","2023-06-30 20:06:00.000",144,"asleep"
"AOYM4KG","2023-06-30 20:30:00.000",6,"restless"
"AOYM4KG","2023-06-30 20:31:00.000",18,"asleep"
"AOYM4KG","2023-06-30 20:34:00.000",6,"restless"
"AOYM4KG","2023-06-30 20:35:00.000",150,"asleep"
"AOYM4KG","2023-06-30 21:00:00.000",6,"restless"
"AOYM4KG","2023-06-30 21:01:00.000",6,"asleep"
"AOYM4KG","2023-06-30 21:02:00.000",6,"restless"
"AOYM4KG","2023-06-30 21:03:00.000",6,"asleep"
"AOYM4KG","2023-06-30 21:04:00.000",6,"restless"
"AOYM4KG","2023-06-30 21:05:00.000",12,"asleep"
"AOYM4KG","2023-06-30 21:07:00.000",6,"restless"
"AOYM4KG","2023-06-30 21:08:00.000",6,"asleep"
"AOYM4KG","2023-06-30 21:09:00.000",24,"restless"
"AOYM4KG","2023-06-30 21:13:00.000",72,"awake"
"AOYM4KG","2023-06-30 21:25:00.000",12,"restless"
"AOYM4KG","2023-06-30 21:27:00.000",84,"asleep"
"AOYM4KG","2023-06-30 21:41:00.000",18,"restless"
"AOYM4KG","2023-06-30 21:44:00.000",18,"awake"
"AOYM4KG","2023-06-30 21:47:00.000",552,"asleep"
"AOYM4KG","2023-06-30 23:19:00.000",6,"restless"
"AOYM4KG","2023-06-30 23:20:00.000",6,"asleep"
"AOYM4KG","2023-06-30 23:21:00.000",12,"restless"
"AOYM4KG","2023-06-30 23:23:00.000",6,"awake"
"AOYM4KG","2023-06-30 23:24:00.000",6,"restless"
"AOYM4KG","2023-06-30 23:25:00.000",6,"awake"
"AOYM4KG","2023-06-30 23:26:00.000",6,"restless"
"AOYM4KG","2023-06-30 23:27:00.000",372,"asleep"
"AOYM4KG","2023-07-01 00:29:00.000",6,"restless"
"AOYM4KG","2023-07-01 00:30:00.000",18,"asleep"
"AOYM4KG","2023-07-01 00:33:00.000",6,"restless"
"AOYM4KG","2023-07-01 00:34:00.000",54,"asleep"
"AOYM4KG","2023-07-01 00:43:00.000",6,"restless"
"AOYM4KG","2023-07-01 00:44:00.000",162,"asleep"
"AOYM4KG","2023-07-01 01:11:00.000",6,"restless"
"AOYM4KG","2023-07-01 01:12:00.000",42,"asleep"
"AOYM4KG","2023-07-01 01:19:00.000",12,"restless"
"AOYM4KG","2023-07-01 01:21:00.000",18,"asleep"
"AOYM4KG","2023-07-01 01:24:00.000",6,"restless"
"AOYM4KG","2023-07-01 01:25:00.000",60,"asleep"
"AOYM4KG","2023-07-01 01:35:00.000",12,"restless"
"AOYM4KG","2023-07-01 01:37:00.000",66,"asleep"
"AOYM4KG","2023-07-01 01:48:00.000",18,"restless"
"AOYM4KG","2023-07-01 01:51:00.000",18,"awake"
"AOYM4KG","2023-07-01 01:54:00.000",6,"restless"
"AOYM4KG","2023-07-01 01:55:00.000",174,"asleep"
"AOYM4KG","2023-07-01 02:24:00.000",18,"restless"
"AOYM4KG","2023-07-01 02:27:00.000",6,"asleep"
"AOYM4KG","2023-07-01 02:28:00.000",6,"restless"
"AOYM4KG","2023-07-01 02:29:00.000",66,"asleep"
"AOYM4KG","2023-07-01 02:40:00.000",6,"restless"
"AOYM4KG","2023-07-01 02:41:00.000",174,"asleep"
"AOYM4KG","2023-07-01 03:10:00.000",6,"restless"
"AOYM4KG","2023-07-01 03:11:00.000",108,"asleep"
"AOYM4KG","2023-07-01 03:29:00.000",6,"restless"
"AOYM4KG","2023-07-01 03:30:00.000",138,"asleep"
"AOYM4KG","2023-07-01 19:28:30.000",306,"asleep"
"AOYM4KG","2023-07-01 20:19:30.000",6,"restless"
"AOYM4KG","2023-07-01 20:20:30.000",180,"asleep"
"AOYM4KG","2023-07-01 20:50:30.000",12,"restless"
"AOYM4KG","2023-07-01 20:52:30.000",12,"asleep"
"AOYM4KG","2023-07-01 20:54:30.000",12,"restless"
"AOYM4KG","2023-07-01 20:56:30.000",24,"asleep"
"AOYM4KG","2023-07-01 21:00:30.000",18,"restless"
"AOYM4KG","2023-07-01 21:03:30.000",6,"asleep"
"AOYM4KG","2023-07-01 21:04:30.000",12,"restless"
"AOYM4KG","2023-07-01 21:06:30.000",6,"awake"
"AOYM4KG","2023-07-01 21:07:30.000",6,"restless"
"AOYM4KG","2023-07-01 21:08:30.000",6,"awake"
"AOYM4KG","2023-07-01 21:09:30.000",6,"restless"
"AOYM4KG","2023-07-01 21:10:30.000",420,"asleep"
"AOYM4KG","2023-07-01 22:20:30.000",6,"restless"
"AOYM4KG","2023-07-01 22:21:30.000",90,"asleep"
"AOYM4KG","2023-07-01 22:36:30.000",24,"restless"
"AOYM4KG","2023-07-01 22:40:30.000",24,"awake"
"AOYM4KG","2023-07-01 22:44:30.000",42,"asleep"
"AOYM4KG","2023-07-01 22:51:30.000",18,"restless"
"AOYM4KG","2023-07-01 22:54:30.000",72,"asleep"
"AOYM4KG","2023-07-01 23:06:30.000",6,"restless"
"AOYM4KG","2023-07-01 23:07:30.000",36,"asleep"
"AOYM4KG","2023-07-01 23:13:30.000",18,"restless"
"AOYM4KG","2023-07-01 23:16:30.000",24,"awake"
"AOYM4KG","2023-07-01 23:20:30.000",12,"restless"
"AOYM4KG","2023-07-01 23:22:30.000",12,"asleep"
"AOYM4KG","2023-07-01 23:24:30.000",12,"restless"
"AOYM4KG","2023-07-01 23:26:30.000",6,"asleep"
"AOYM4KG","2023-07-01 23:27:30.000",18,"restless"
"AOYM4KG","2023-07-01 23:30:30.000",18,"awake"
"AOYM4KG","2023-07-01 23:33:30.000",6,"restless"
"AOYM4KG","2023-07-01 23:34:30.000",144,"asleep"
"AOYM4KG","2023-07-01 23:58:30.000",18,"restless"
"AOYM4KG","2023-07-02 00:01:30.000",6,"asleep"
"AOYM4KG","2023-07-02 00:02:30.000",18,"restless"
"AOYM4KG","2023-07-02 00:05:30.000",12,"asleep"
"AOYM4KG","2023-07-02 00:07:30.000",30,"restless"
"AOYM4KG","2023-07-02 00:12:30.000",6,"awake"
"AOYM4KG","2023-07-02 00:13:30.000",6,"asleep"
"AOYM4KG","2023-07-02 00:14:30.000",6,"restless"
"AOYM4KG","2023-07-02 00:15:30.000",42,"asleep"
"AOYM4KG","2023-07-02 00:22:30.000",6,"restless"
"AOYM4KG","2023-07-02 00:23:30.000",18,"asleep"
"AOYM4KG","2023-07-02 00:26:30.000",6,"restless"
"AOYM4KG","2023-07-02 00:27:30.000",186,"asleep"
"AOYM4KG","2023-07-02 00:58:30.000",6,"restless"
"AOYM4KG","2023-07-02 00:59:30.000",18,"asleep"
"AOYM4KG","2023-07-02 01:02:30.000",6,"restless"
"AOYM4KG","2023-07-02 01:03:30.000",24,"asleep"
"AOYM4KG","2023-07-02 01:07:30.000",6,"restless"
"AOYM4KG","2023-07-02 01:08:30.000",174,"asleep"
"AOYM4KG","2023-07-02 01:37:30.000",6,"restless"
"AOYM4KG","2023-07-02 01:38:30.000",282,"asleep"
"AOYM4KG","2023-07-02 02:25:30.000",6,"restless"
"AOYM4KG","2023-07-02 02:26:30.000",18,"asleep"
"AOYM4KG","2023-07-02 02:29:30.000",6,"restless"
"AOYM4KG","2023-07-02 02:30:30.000",264,"asleep"
"AOYM4KG","2023-07-02 03:14:30.000",6,"restless"
"AOYM4KG","2023-07-02 03:15:30.000",18,"asleep"
"AOYM4KG","2023-07-02 19:39:00.000",42,"asleep"
"AOYM4KG","2023-07-02 19:46:00.000",24,"restless"
"AOYM4KG","2023-07-02 19:50:00.000",6,"awake"
"AOYM4KG","2023-07-02 19:51:00.000",24,"restless"
"AOYM4KG","2023-07-02 19:55:00.000",294,"asleep"
"AOYM4KG","2023-07-02 20:44:00.000",6,"restless"
"AOYM4KG","2023-07-02 20:45:00.000",60,"asleep"
"AOYM4KG","2023-07-02 20:55:00.000",6,"restless"
"AOYM4KG","2023-07-02 20:56:00.000",246,"asleep"
"AOYM4KG","2023-07-02 21:37:00.000",12,"restless"
"AOYM4KG","2023-07-02 21:39:00.000",6,"awake"
"AOYM4KG","2023-07-02 21:40:00.000",6,"restless"
"AOYM4KG","2023-07-02 21:41:00.000",6,"awake"
"AOYM4KG","2023-07-02 21:42:00.000",336,"asleep"
"AOYM4KG","2023-07-02 22:38:00.000",6,"restless"
"AOYM4KG","2023-07-02 22:39:00.000",66,"asleep"
"AOYM4KG","2023-07-02 22:50:00.000",84,"restless"
"AOYM4KG","2023-07-02 23:04:00.000",6,"awake"
"AOYM4KG","2023-07-02 23:05:00.000",6,"restless"
"AOYM4KG","2023-07-02 23:06:00.000",360,"asleep"
"AOYM4KG","2023-07-03 00:06:00.000",6,"restless"
"AOYM4KG","2023-07-03 00:07:00.000",18,"asleep"
"AOYM4KG","2023-07-03 00:10:00.000",6,"restless"
"AOYM4KG","2023-07-03 00:11:00.000",60,"asleep"
"AOYM4KG","2023-07-03 00:21:00.000",12,"restless"
"AOYM4KG","2023-07-03 00:23:00.000",12,"asleep"
"AOYM4KG","2023-07-03 00:25:00.000",6,"restless"
"AOYM4KG","2023-07-03 00:26:00.000",318,"asleep"
"AOYM4KG","2023-07-03 01:19:00.000",6,"restless"
"AOYM4KG","2023-07-03 01:20:00.000",324,"asleep"
"AOYM4KG","2023-07-03 02:14:00.000",24,"restless"
"AOYM4KG","2023-07-03 02:18:00.000",6,"awake"
"AOYM4KG","2023-07-03 02:19:00.000",12,"restless"
"AOYM4KG","2023-07-03 02:21:00.000",150,"asleep"
"AOYM4KG","2023-07-03 02:46:00.000",6,"restless"
"AOYM4KG","2023-07-03 02:47:00.000",18,"asleep"
"AOYM4KG","2023-07-03 02:50:00.000",6,"restless"
"AOYM4KG","2023-07-03 02:51:00.000",24,"asleep"
"AOYM4KG","2023-07-03 02:55:00.000",6,"restless"
"AOYM4KG","2023-07-03 02:56:00.000",72,"asleep"
"AOYM4KG","2023-07-03 03:08:00.000",6,"restless"
"AOYM4KG","2023-07-03 03:09:00.000",12,"asleep"
"AOYM4KG","2023-07-03 19:45:30.000",12,"restless"
"AOYM4KG","2023-07-03 19:47:30.000",6,"awake"
"AOYM4KG","2023-07-03 19:48:30.000",624,"asleep"
"AOYM4KG","2023-07-03 21:32:30.000",24,"restless"
"AOYM4KG","2023-07-03 21:36:30.000",6,"awake"
"AOYM4KG","2023-07-03 21:37:30.000",6,"restless"
"AOYM4KG","2023-07-03 21:38:30.000",6,"awake"
"AOYM4KG","2023-07-03 21:39:30.000",372,"asleep"
"AOYM4KG","2023-07-03 22:41:30.000",6,"restless"
"AOYM4KG","2023-07-03 22:42:30.000",84,"asleep"
"AOYM4KG","2023-07-03 22:56:30.000",6,"restless"
"AOYM4KG","2023-07-03 22:57:30.000",12,"asleep"
"AOYM4KG","2023-07-03 22:59:30.000",6,"restless"
"AOYM4KG","2023-07-03 23:00:30.000",48,"asleep"
"AOYM4KG","2023-07-03 23:08:30.000",48,"restless"
"AOYM4KG","2023-07-03 23:16:30.000",24,"awake"
"AOYM4KG","2023-07-03 23:20:30.000",12,"restless"
"AOYM4KG","2023-07-03 23:22:30.000",462,"asleep"
"AOYM4KG","2023-07-04 00:39:30.000",6,"restless"
"AOYM4KG","2023-07-04 00:40:30.000",174,"asleep"
"AOYM4KG","2023-07-04 01:09:30.000",6,"restless"
"AOYM4KG","2023-07-04 01:10:30.000",156,"asleep"
"AOYM4KG","2023-07-04 01:36:30.000",6,"restless"
"AOYM4KG","2023-07-04 01:37:30.000",348,"asleep"
"AOYM4KG","2023-07-04 02:35:30.000",6,"restless"
"AOYM4KG","2023-07-04 02:36:30.000",6,"asleep"
"AOYM4KG","2023-07-04 02:37:30.000",6,"restless"
"AOYM4KG","2023-07-04 02:38:30.000",6,"asleep"
"AOYM4KG","2023-07-04 02:39:30.000",12,"restless"
"AOYM4KG","2023-07-04 02:41:30.000",6,"awake"
"AOYM4KG","2023-07-04 02:42:30.000",6,"restless"
"AOYM4KG","2023-07-04 02:43:30.000",6,"awake"
"AOYM4KG","2023-07-04 02:44:30.000",114,"asleep"
"AOYM4KG","2023-07-04 03:03:30.000",42,"restless"
"AOYM4KG","2023-07-04 03:10:30.000",6,"asleep"
"AOYM4KG","2023-07-04 03:11:30.000",12,"restless"
"AOYM4KG","2023-07-04 03:13:30.000",12,"asleep"
"AOYM4KG","2023-07-04 03:15:30.000",18,"restless"
"AOYM4KG","2023-07-04 03:18:30.000",6,"asleep"
"AOYM4KG","2023-07-04 03:19:30.000",6,"restless"
"AOYM4KG","2023-07-04 03:20:30.000",6,"asleep"
"AOYM4KG","2023-07-04 03:21:30.000",6,"restless"
"AOYM4KG","2023-07-04 20:12:30.000",12,"awake"
"AOYM4KG","2023-07-04 20:14:30.000",6,"restless"
